Tempo,Referencia,Saída,Erro
21.015089368,0.06999342,0,0.06999342
21.030843457,1.0152387600000001,0,1.0152387600000001
21.046417963,1.94970912,0,1.94970912
21.062096011,2.890392,0,2.890392
21.077847964,3.83550918,0.07954788215416286,3.755961297845837
21.093629917,4.78242636,0.07954788215416286,4.702878477845837
21.109369787,5.72681856,0.19318771380296695,5.533630846197033
21.124912679,6.65939208,0.19318771380296695,6.466204366197033
21.140613956,7.6014687,0.22727966329760818,7.374189036702392
21.156322055,8.54395464,0.22727966329760818,8.316674976702393
21.172087655,9.48989064,0.2159156801327278,9.273974959867273
21.187826848,10.434242220000002,0.2159156801327278,10.218326539867274
21.20346651,11.37262194,0.18182373063808657,11.190798209361914
21.219131901,12.312545400000001,0.18182373063808657,12.130721669361915
21.234946407,13.261415759999998,0.11363983164880409,13.147775928351194
21.250494299,14.19428928,0.11363983164880409,14.080649448351195
21.266221773,15.13793772,0.03409194949464123,15.103845770505359
21.282815337,16.13355156,0.03409194949464123,16.09945961050536
21.298472864,17.07300318,0,17.07300318
21.314822262,18.053967059999998,0,18.053967059999998
21.330573955,18.99906864,0,18.99906864
21.346446324,19.95141078,0,19.95141078
21.362406037,20.90899356,0,20.90899356
21.378251115,21.85969824,0,21.85969824
21.39416312,22.81441854,0,22.81441854
21.410009812,23.76522006,0,23.76522006
21.425827495,24.714281040000003,0,24.714281040000003
21.441786166,25.6718013,0,25.6718013
21.457746452,26.62941846,0,26.62941846
21.473517884,27.57570438,0,27.57570438
21.489495774,28.53437778,0,28.53437778
21.505392518,29.488182419999998,0,29.488182419999998
21.521223221,30.438024600000002,0,30.438024600000002
21.537104185,31.39088244,0,31.39088244
21.552836763,32.33483712,0,32.33483712
21.568584185,33.27968244,0,33.27968244
21.584663533,34.24444332,0,34.24444332
21.600454757,35.19191676,0,35.19191676
21.616231294,36.13850898,0,36.13850898
21.632055278,37.08794802,0,37.08794802
21.647812335,38.033371439999996,0,38.033371439999996
21.663656945,38.984048040000005,0,38.984048040000005
21.679260045,39.92023404,0,39.92023404
21.695140643,40.87306992,0,40.87306992
21.710966555,41.82262464,0,41.82262464
21.726703821,42.7668606,0,42.7668606
21.742688742,43.72595586,0,43.72595586
21.758352206,44.6657637,0,44.6657637
21.773982545,45.60358404,0,45.60358404
21.789712884,46.54740438,0,46.54740438
21.806406604,47.54902758,0,47.54902758
21.821963194,48.48242298,0,48.48242298
21.838565664,49.478571179999996,0,49.478571179999996
21.854230847,50.41848216,0,50.41848216
21.869877957,51.35730876,0,51.35730876
21.88540361,52.28884794,0,52.28884794
21.901048012,53.22751206,0,53.22751206
21.916684809,54.16571988,0,54.16571988
21.932568793,55.118758920000005,0,55.118758920000005
21.948474079,56.07307608,0,56.07307608
21.964327386,57.0242745,0,57.0242745
21.980192933,57.97620732,0,57.97620732
21.996062698,58.92839322,0,58.92839322
22.0118246,59.87410734,0,59.87410734
22.027596553,60.820424519999996,0,60.820424519999996
22.043354184,61.76588238,0,61.76588238
22.058983481,62.7036402,0,62.7036402
22.074594758,63.640316819999995,0,63.640316819999995
22.090136505,64.57282164,0,64.57282164
22.105838042,65.51491386,0,65.51491386
22.1214376,66.45088734000001,0,66.45088734000001
22.137104606,67.3909077,0,67.3909077
22.152794372,68.33229366,0,68.33229366
22.168417941,69.26970779999999,0,69.26970779999999
22.184093332,70.21023126,0,70.21023126
22.199787369,71.15187348,0,71.15187348
22.215314011,72.083472,0,72.083472
22.230938778,73.02095802,0,73.02095802
22.246900574,73.97866578,0,73.97866578
22.262848724,74.93555478,0,74.93555478
22.278548855,75.87756264,0,75.87756264
22.29471414,76.84747974,0,76.84747974
22.310645207,77.80334376,0,77.80334376
22.326492733,78.75419532,0,78.75419532
22.342396665,79.70843124000001,0,79.70843124000001
22.358176639,80.65522968,0,80.65522968
22.373929999,81.60043128,0,81.60043128
22.389681379,82.54551408,0,82.54551408
22.405548488,83.49754062,0,83.49754062
22.421133151,84.4326204,0,84.4326204
22.436912656,85.3793907,0,85.3793907
22.452746328,86.32941102000001,0,86.32941102000001
22.468618229,87.28172508,0,87.28172508
22.484262995,88.22041104,0,88.22041104
22.500046511,89.167422,0,89.167422
22.515956693,90.12203292000001,0,90.12203292000001
22.531670105,91.06483764000001,0,91.06483764000001
22.547609818,92.02122041999999,0,92.02122041999999
22.563342605,92.96518764000001,0,92.96518764000001
22.579033777,93.90665796,0,93.90665796
22.594780262,94.85144706,1.5341377272588552,93.31730933274115
22.610657423,95.80407672000001,1.5341377272588552,94.26993899274115
22.62630995,96.74322834,4.227401737335512,92.51582660266449
22.642074247,97.68908616,4.227401737335512,93.46168442266449
22.658048647,98.64755016,5.875179296243171,92.77237086375682
22.67398685,99.60384234,5.875179296243171,93.72866304375684
22.689575523,100.53916272,7.568412787810352,92.97074993218965
22.705387163,101.48786111999999,7.568412787810352,93.91944833218965
22.721315678,102.44357202,9.841209420786434,92.60236259921356
22.737073569,103.38904548000001,9.841209420786434,93.54783605921357
22.753130365,104.35245324,12.136734020092279,92.21571921990773
22.768771954,105.29094857999999,12.136734020092279,93.15421455990771
22.784675001,106.2451314,13.670871747351132,92.57425965264888
22.800654557,107.20390476,13.670871747351132,93.53303301264887
22.816532396,108.1565751,15.977760329821855,92.17881477017814
22.832181641,109.0955298,15.977760329821855,93.11776947017815
22.847967709,110.04269388,18.261920945962817,91.78077293403717
22.863858308,110.99612982,18.261920945962817,92.73420887403718
22.879538907,111.93696575999999,19.648326892078227,92.28863886792176
22.895063831,112.8684612,19.648326892078227,93.22013430792178
