Time,Output,Error,Control
0.019050999999997487,0.0,0.0,0.0
0.044010000000000105,4.848791,0.0,0.0
0.06896199999999908,0.0,0.0,0.0
0.0939249999999987,9.775162,0.0,0.0
0.1188849999999988,34.213184,0.0,0.0
0.14488200000000262,39.100647,0.0,0.0
0.17088300000000345,53.763447,0.0,0.0
0.19688399999999717,68.426186,0.0,0.0
0.222884999999998,39.100647,0.0,0.0
0.24888200000000182,78.201408,0.0,0.0
0.27488300000000265,58.650967,0.0,0.0
0.3008840000000035,73.313828,0.0,0.0
0.3268849999999972,68.426132,0.0,0.0
0.35288200000000103,53.763508,0.0,0.0
0.37888300000000186,78.201294,0.0,0.0
0.4048840000000027,68.426247,0.0,0.0
0.4308850000000035,68.426132,0.0,0.0
0.45688200000000023,68.426369,0.0,0.0
0.48288300000000106,63.538548,0.0,0.0
0.5088840000000019,87.97657,0.0,0.0
0.5348850000000027,53.763386,0.0,0.0
0.5608829999999969,73.313713,0.0,0.0
0.5868839999999977,78.201408,0.0,0.0
0.6128849999999986,73.313713,0.0,0.0
0.6388889999999989,83.089111,0.0,0.0
0.6648830000000032,58.650967,0.0,0.0
0.690883999999997,83.088867,0.0,0.0
0.7168849999999978,97.75161,0.0,0.0
0.7428859999999986,58.651207,0.0,0.0
0.7688830000000024,78.201294,0.0,0.0
0.7948840000000033,73.313713,0.0,0.0
0.820884999999997,83.089111,0.0,0.0
0.8468859999999978,68.426132,0.0,0.0
0.8728830000000016,78.201294,0.0,0.0
0.8988840000000025,87.976448,0.0,0.0
0.9248850000000033,73.31395,0.0,0.0
0.950885999999997,73.313713,0.0,0.0
0.9768830000000008,68.426132,0.0,0.0
1.0028840000000017,73.313713,0.0,0.0
1.0288850000000025,73.314186,0.0,0.0
1.0548860000000033,83.088867,0.0,0.0
1.080883,78.201294,0.0,0.0
1.1068840000000009,78.201294,0.0,0.0
1.1328850000000017,87.976692,0.0,0.0
1.1588819999999984,63.538548,0.0,0.0
1.1848829999999992,83.088867,0.0,0.0
1.210884,87.976448,0.0,0.0
1.236893000000002,78.20153,0.0,0.0
1.2628819999999976,83.088867,0.0,0.0
1.2888829999999984,87.976448,0.0,0.0
1.3148839999999993,78.201294,0.0,0.0
1.340885,73.314186,0.0,0.0
1.3668819999999968,78.201294,0.0,0.0
1.3928829999999977,53.763386,0.0,0.0
1.4188839999999985,83.088867,0.0,0.0
1.4448849999999993,92.864029,0.0,0.0
1.4708820000000031,68.426132,0.0,0.0
1.4968829999999969,87.976448,0.0,0.0
1.5228839999999977,73.313713,0.0,0.0
1.5488849999999985,87.976929,0.0,0.0
1.5748829999999998,73.313713,0.0,0.0
1.980483999999997,53.763439,0.0,0.0
2.006484999999998,63.538609,0.0,0.0
2.0324820000000017,87.976547,0.0,0.0
2.0584830000000025,68.426186,0.0,0.0
2.0844840000000033,58.651028,0.0,0.0
2.110484999999997,83.088959,0.0,0.0
2.136482000000001,68.426155,0.0,0.0
2.1624830000000017,58.651058,0.0,0.0
2.1884840000000025,78.201347,0.0,0.0
2.2144850000000034,68.426186,0.0,0.0
2.240482,73.313766,0.0,0.0
2.266483000000001,58.651089,0.0,0.0
2.2924840000000017,73.313713,0.0,0.0
2.3184850000000026,73.313766,0.0,0.0
2.3444819999999993,53.763447,0.0,0.0
2.370483,83.088989,0.0,0.0
2.396484000000001,58.650967,0.0,0.0
2.4224850000000018,78.201408,0.0,0.0
2.448483000000003,68.426132,0.0,0.0
2.4744829999999993,58.651089,0.0,0.0
2.500484,83.088867,0.0,0.0
2.526485000000001,63.538666,0.0,0.0
2.5524830000000023,68.426132,0.0,0.0
2.578484000000003,68.426369,0.0,0.0
2.604484999999997,58.650967,0.0,0.0
2.6304859999999977,87.97657,0.0,0.0
2.6564830000000015,58.650967,0.0,0.0
2.6824840000000023,73.313713,0.0,0.0
2.708485000000003,78.201408,0.0,0.0
2.734485999999997,73.313713,0.0,0.0
2.7604830000000007,68.426369,0.0,0.0
2.7864840000000015,73.313713,0.0,0.0
2.8124850000000023,83.088867,0.0,0.0
2.838486000000003,97.75161,0.0,0.0
2.864483,58.651207,0.0,0.0
2.8904840000000007,73.313713,0.0,0.0
2.9164850000000015,78.201294,0.0,0.0
2.9424860000000024,87.976692,0.0,0.0
2.968487000000003,68.426132,0.0,0.0
2.994484,78.201294,0.0,0.0
3.0204850000000008,83.088867,0.0,0.0
3.0464860000000016,73.31395,0.0,0.0
3.0724829999999983,73.313713,0.0,0.0
3.098483999999999,68.426132,0.0,0.0
3.124485,78.201294,0.0,0.0
3.1504819999999967,73.314186,0.0,0.0
3.1764829999999975,83.088867,0.0,0.0
3.2024839999999983,78.201294,0.0,0.0
3.228484999999999,73.313713,0.0,0.0
3.254482000000003,83.089111,0.0,0.0
3.2804829999999967,73.313713,0.0,0.0
3.3064839999999975,83.088867,0.0,0.0
3.3324849999999984,78.201294,0.0,0.0
3.358482000000002,87.976692,0.0,0.0
3.384483000000003,73.313713,0.0,0.0
3.4104839999999967,87.976448,0.0,0.0
3.4364849999999976,78.201294,0.0,0.0
3.4624820000000014,78.201767,0.0,0.0
3.488483000000002,78.201294,0.0,0.0
3.514484000000003,58.650967,0.0,0.0
3.5404849999999968,83.088867,0.0,0.0
3.5664900000000017,82.757843,0.0,0.0
3.592483999999999,68.426132,0.0,0.0
3.6184840000000023,92.864029,0.0,0.0
3.644485000000003,83.088867,0.0,0.0
3.6704829999999973,83.089348,0.0,0.0
3.696483999999998,73.313713,0.0,0.0
4.128081999999999,68.426193,0.0,0.0
4.154083,87.976547,0.0,0.0
4.180084000000001,68.426186,0.0,0.0
4.206085000000002,58.651028,0.0,0.0
4.2320939999999965,87.97654,0.0,0.0
4.258082999999999,63.538578,0.0,0.0
4.284084,68.426216,0.0,0.0
4.310085000000001,73.313766,0.0,0.0
4.3360819999999975,68.426186,0.0,0.0
4.362082999999998,73.313766,0.0,0.0
4.388083999999999,58.651089,0.0,0.0
4.414085,68.426132,0.0,0.0
4.440083000000001,78.201347,0.0,0.0
4.466084000000002,58.651028,0.0,0.0
4.492085000000003,73.313828,0.0,0.0
4.518084999999999,68.426132,0.0,0.0
4.5440830000000005,68.426247,0.0,0.0
