Tempo,Referencia,Erro,Posicao
0.463000,0.463000,0.371023,0.087977
0.466000,0.466000,0.340810,0.122190
0.470000,0.470000,0.343810,0.122190
0.474000,0.474000,0.382023,0.087977
0.477000,0.477000,0.346923,0.127077
0.480000,0.480000,0.349923,0.127077
0.484000,0.484000,0.401799,0.078201
0.487000,0.487000,0.352035,0.131965
0.490000,0.490000,0.355035,0.131965
0.494000,0.494000,0.338485,0.151515
0.497000,0.497000,0.357148,0.136852
0.500000,0.500000,0.355260,0.141740
0.504000,0.504000,0.358260,0.141740
0.507000,0.507000,0.362260,0.141740
0.510000,0.510000,0.360372,0.146628
0.515000,0.515000,0.363372,0.146628
0.518000,0.518000,0.363485,0.151515
0.521000,0.521000,0.366485,0.151515
0.525000,0.525000,0.364597,0.156403
0.528000,0.528000,0.373485,0.151515
0.531000,0.531000,0.366710,0.161290
0.534000,0.534000,0.369710,0.161290
0.538000,0.538000,0.392260,0.141740
0.541000,0.541000,0.371822,0.166178
0.544000,0.544000,0.374822,0.166178
0.548000,0.548000,0.407148,0.136852
0.551000,0.551000,0.376934,0.171065
0.555000,0.555000,0.379934,0.171065
0.559000,0.559000,0.418148,0.136852
0.562000,0.562000,0.383047,0.175953
0.565000,0.565000,0.386047,0.175953
0.569000,0.569000,0.433035,0.131965
0.572000,0.572000,0.388159,0.180841
0.575000,0.575000,0.391159,0.180841
0.579000,0.579000,0.374609,0.200391
0.582000,0.582000,0.388384,0.190616
0.585000,0.585000,0.391384,0.190616
0.589000,0.589000,0.394384,0.190616
0.592000,0.592000,0.393497,0.195503
0.595000,0.595000,0.391609,0.200391
0.600000,0.600000,0.394609,0.200391
0.603000,0.603000,0.399609,0.200391
0.606000,0.606000,0.402609,0.200391
0.610000,0.610000,0.400721,0.205279
0.613000,0.613000,0.409609,0.200391
0.616000,0.616000,0.407721,0.205279
0.620000,0.620000,0.410721,0.205279
0.623000,0.623000,0.424497,0.195503
0.626000,0.626000,0.412834,0.210166
0.629000,0.629000,0.415834,0.210166
0.633000,0.633000,0.453047,0.175953
0.636000,0.636000,0.422834,0.210166
0.640000,0.640000,0.425834,0.210166
0.644000,0.644000,0.464047,0.175953
0.647000,0.647000,0.433834,0.210166
0.650000,0.650000,0.431946,0.215054
0.654000,0.654000,0.488710,0.161290
0.657000,0.657000,0.438946,0.215054
0.660000,0.660000,0.437059,0.219941
0.664000,0.664000,0.425396,0.234604
0.667000,0.667000,0.434283,0.229717
0.670000,0.670000,0.432396,0.234604
0.674000,0.674000,0.430508,0.239492
0.677000,0.677000,0.434508,0.239492
0.680000,0.680000,0.437508,0.239492
0.685000,0.685000,0.435621,0.244379
0.688000,0.688000,0.440621,0.244379
0.691000,0.691000,0.443621,0.244379
0.695000,0.695000,0.441733,0.249267
0.698000,0.698000,0.450621,0.244379
0.701000,0.701000,0.448733,0.249267
0.705000,0.705000,0.446846,0.254154
0.708000,0.708000,0.455733,0.249267
0.711000,0.711000,0.453846,0.254154
0.714000,0.714000,0.456846,0.254154
0.718000,0.718000,0.489171,0.224829
0.721000,0.721000,0.458958,0.259042
0.724000,0.724000,0.457070,0.263930
0.729000,0.729000,0.499171,0.224829
0.732000,0.732000,0.460183,0.268817
0.735000,0.735000,0.458295,0.273705
0.739000,0.739000,0.505283,0.229717
0.742000,0.742000,0.460408,0.278592
0.745000,0.745000,0.463408,0.278592
0.749000,0.749000,0.451745,0.293255
0.752000,0.752000,0.465520,0.283480
0.755000,0.755000,0.463632,0.288368
0.759000,0.759000,0.456857,0.298143
0.762000,0.762000,0.465745,0.293255
0.765000,0.765000,0.463857,0.298143
0.770000,0.770000,0.466857,0.298143
0.773000,0.773000,0.471857,0.298143
0.776000,0.776000,0.469970,0.303030
0.780000,0.780000,0.472970,0.303030
0.783000,0.783000,0.476970,0.303030
0.786000,0.786000,0.475082,0.307918
0.790000,0.790000,0.473195,0.312805
0.793000,0.793000,0.496745,0.293255
0.796000,0.796000,0.480195,0.312805
0.799000,0.799000,0.483195,0.312805
0.803000,0.803000,0.515520,0.283480
0.806000,0.806000,0.490194,0.312805
0.809000,0.809000,0.488307,0.317693
0.814000,0.814000,0.530408,0.278592
0.817000,0.817000,0.496307,0.317693
0.820000,0.820000,0.499307,0.317693
0.824000,0.824000,0.551183,0.268817
0.827000,0.827000,0.506307,0.317693
0.830000,0.830000,0.509307,0.317693
0.834000,0.834000,0.497644,0.332356
0.837000,0.837000,0.511419,0.322581
0.840000,0.840000,0.514419,0.322581
0.844000,0.844000,0.512532,0.327468
0.847000,0.847000,0.511644,0.332356
0.850000,0.850000,0.514644,0.332356
0.855000,0.855000,0.512757,0.337243
0.858000,0.858000,0.517757,0.337243
0.861000,0.861000,0.506094,0.351906
0.865000,0.865000,0.499319,0.361681
0.868000,0.868000,0.498431,0.366569
0.871000,0.871000,0.501431,0.366569
0.875000,0.875000,0.504431,0.366569
0.878000,0.878000,0.513319,0.361681
0.881000,0.881000,0.501656,0.376344
0.884000,0.884000,0.504656,0.376344
0.888000,0.888000,0.527206,0.356794
0.891000,0.891000,0.506768,0.381232
0.894000,0.894000,0.509768,0.381232
0.899000,0.899000,0.551869,0.342131
0.902000,0.902000,0.517768,0.381232
0.905000,0.905000,0.520768,0.381232
0.909000,0.909000,0.567757,0.337243
0.912000,0.912000,0.527768,0.381232
0.915000,0.915000,0.530768,0.381232
0.919000,0.919000,0.519106,0.395894
0.922000,0.922000,0.532881,0.386119
0.925000,0.925000,0.535881,0.386119
0.929000,0.929000,0.538881,0.386119
0.932000,0.932000,0.537993,0.391007
0.935000,0.935000,0.536106,0.395894
0.940000,0.940000,0.539106,0.395894
0.943000,0.943000,0.539218,0.400782
0.946000,0.946000,0.532443,0.410557
0.950000,0.950000,0.535443,0.410557
0.953000,0.953000,0.534555,0.415445
0.956000,0.956000,0.537555,0.415445
0.960000,0.960000,0.535668,0.420332
0.963000,0.963000,0.534780,0.425220
0.966000,0.966000,0.532892,0.430108
