Tempo, Velocidade
0.001080, 289.634700
0.002176, 0.000000
0.003296, 4.363911
0.004400, -4.427156
0.005520, 4.363911
0.006624, 0.000000
0.007768, -4.272361
0.008880, 0.000000
0.010164, 0.000000
0.011864, 0.000000
0.013564, 0.000000
0.015264, 0.000000
0.016964, 0.000000
0.018664, 0.000000
0.020364, 0.000000
0.022064, 0.000000
0.023764, 2.875047
0.025464, -2.875047
0.027248, 0.000000
0.028948, 0.000000
0.030648, 0.000000
0.032348, 0.000000
0.034048, 0.000000
0.035748, 0.000000
0.037448, 0.000000
0.039148, 2.875047
0.040848, -2.875047
0.042632, 2.739676
0.044332, 0.000000
0.046032, 2.875047
0.047732, 0.000000
0.049432, 0.000000
0.051132, 2.875047
0.052832, 2.875065
0.054532, 2.875047
0.056232, 2.875047
0.057932, 2.875047
0.059632, 8.625143
0.061332, 5.750113
0.063032, 0.000000
0.064732, 2.875047
0.066432, 2.875047
0.068132, -2.875047
0.069920, 2.733546
0.071616, 0.000000
0.073316, 0.000000
0.075020, 0.000000
0.076720, 0.000000
0.078416, 0.000000
0.080116, 0.000000
0.081816, 2.875047
0.083516, 2.875047
0.085216, 2.875047
0.086920, 2.868299
0.088616, 2.881828
0.090316, 5.750130
0.092016, 2.875047
0.093716, 0.000000
0.095416, 2.875047
0.097116, 2.875047
0.098820, 2.868299
0.100516, 0.000000
0.102220, 5.736597
0.103916, 0.000000
0.105620, 2.868316
0.107316, 2.881828
0.109016, 0.000000
0.110716, 2.875047
0.112416, 5.750095
0.114116, 0.000000
0.115816, 2.875047
0.117516, -2.875047
0.119304, 2.733546
0.121004, 0.000000
0.122704, 2.875047
0.124404, 0.000000
0.126104, 2.875047
0.127804, 2.875065
0.129504, 2.875047
0.131204, 2.875047
0.132904, 0.000000
0.134604, 2.875047
0.136304, 2.875047
0.138004, 2.875047
0.139704, 0.000000
0.141404, 2.875047
0.143104, 0.000000
0.144804, 5.750130
0.146504, 0.000000
0.148204, 2.875047
0.149904, 0.000000
0.151604, 2.875047
0.153304, 2.875047
0.155004, 2.875047
0.156704, 0.000000
0.158404, 2.875047
0.160104, 2.875047
0.161808, 2.868299
0.163504, 0.000000
0.165204, 5.750095
0.166904, 0.000000
0.168604, 2.875047
0.170304, 0.000000
0.172004, 2.875047
0.173704, 2.875047
0.175404, 5.750095
0.177104, 0.000000
0.178804, 2.875047
0.180504, 0.000000
0.182204, 5.750130
0.183904, 2.875047
0.185604, 5.750095
0.187304, 2.875047
0.189004, 0.000000
0.190704, 2.875047
0.192404, 2.875047
0.194104, 0.000000
0.195804, 2.875047
0.197504, 0.000000
