Tempo, Referencia, Erro, Posicao
"0,565","0,565","0,537562","0,024438"
"0,569","0,569","0,521012","0,043988"
"0,572","0,572","0,54945","0,01955"
"0,575","0,575","0,547562","0,024438"
"0,579","0,579","0,540787","0,034213"
"0,582","0,582","0,55945","0,01955"
"0,585","0,585","0,557562","0,024438"
"0,589","0,589","0,560562","0,024438"
"0,592","0,592","0,584112","0,004888"
"0,595","0,595","0,562675","0,029326"
"0,6","0,6","0,565675","0,029326"
"0,603","0,603","0,595112","0,004888"
"0,606","0,606","0,568787","0,034213"
"0,61","0,61","0,566899","0,039101"
"0,613","0,613","0,605112","0,004888"
"0,616","0,616","0,573899","0,039101"
"0,62","0,62","0,576899","0,039101"
"0,623","0,623","0,62",0
"0,626","0,626","0,579012","0,043988"
"0,629","0,629","0,582012","0,043988"
"0,633","0,633","0,629",0
"0,636","0,636","0,584124","0,048876"
"0,64","0,64","0,587124","0,048876"
"0,644","0,644","0,64",0
"0,647","0,647","0,595124","0,048876"
"0,65","0,65","0,598124","0,048876"
"0,654","0,654","0,581574","0,068426"
"0,657","0,657","0,600237","0,053763"
"0,66","0,66","0,598349","0,058651"
"0,664","0,664","0,596461","0,063539"
"0,667","0,667","0,605349","0,058651"
"0,67","0,67","0,603461","0,063539"
"0,674","0,674","0,606461","0,063539"
"0,677","0,677","0,610461","0,063539"
"0,68","0,68","0,613461","0,063539"
"0,685","0,685","0,611574","0,068426"
"0,688","0,688","0,636124","0,048876"
"0,691","0,691","0,619574","0,068426"
"0,695","0,695","0,622574","0,068426"
"0,698","0,698","0,655899","0,039101"
"0,701","0,701","0,624686","0,073314"
"0,705","0,705","0,627686","0,073314"
"0,708","0,708","0,670787","0,034213"
"0,711","0,711","0,634686","0,073314"
"0,714","0,714","0,637686","0,073314"
"0,718","0,718","0,684675","0,029326"
"0,721","0,721","0,639799","0,078201"
"0,724","0,724","0,642799","0,078201"
"0,729","0,729","0,694674","0,029326"
"0,732","0,732","0,645911","0,083089"
"0,735","0,735","0,648911","0,083089"
"0,739","0,739","0,632361","0,102639"
"0,742","0,742","0,651024","0,087977"
"0,745","0,745","0,649136","0,092864"
"0,749","0,749","0,642361","0,102639"
"0,752","0,752","0,651248","0,097752"
"0,755","0,755","0,649361","0,102639"
"0,759","0,759","0,652361","0,102639"
"0,762","0,762","0,651473","0,107527"
"0,765","0,765","0,649586","0,112414"
"0,77","0,77","0,652586","0,112414"
"0,773","0,773","0,667361","0,102639"
"0,776","0,776","0,660586","0,112414"
"0,78","0,78","0,658698","0,117302"
"0,783","0,783","0,687136","0,092864"
