Time,Output,Error,Control
6.108816,1.964809,0.035191,0.440847
6.147296,1.964809,0.035191,0.442408
6.185772,1.964809,0.035191,0.44382
6.224256,1.964809,0.035191,0.445098
6.262732,1.964809,0.035191,0.446254
6.301212,1.964809,0.035191,0.4473
6.339692,1.945259,0.054741,0.778905
6.378172,1.964809,0.035191,0.441803
6.416652,1.964809,0.035191,0.443273
6.455132,1.964809,0.035191,0.444603
6.493612,1.964809,0.035191,0.445806
6.532092,1.969697,0.030303,0.36423
6.570572,1.964809,0.035191,0.449704
6.609052,1.959922,0.040078,0.533086
6.647536,1.964809,0.035191,0.449246
6.686012,1.964809,0.035191,0.450007
6.7245,1.964809,0.035191,0.450695
6.762972,1.964809,0.035191,0.451318
6.801452,1.915933,0.084067,1.278527
6.839932,1.964809,0.035191,0.434143
6.878412,1.964809,0.035191,0.436342
6.916892,1.964809,0.035191,0.438332
6.955376,1.964809,0.035191,0.440133
6.993852,1.964809,0.035191,0.441762
7.032332,1.964809,0.035191,0.443236
7.070812,1.940371,0.059629,0.857892
7.109292,1.964809,0.035191,0.436651
7.147772,1.964809,0.035191,0.438612
