Tempo,Saída
0.109197362,6.81828353370512
0.149828432,30.680997546717595
0.190447731,111.74486972394874
0.230609846,210.2296801710523
0.270711544,170.8349992385513
0.310998971,177.26491340959427
0.351134003,204.53821108179648
0.391352888,186.74521634233366
0.43157469,214.3863543166607
0.4716779,209.4670057868119
0.512098346,193.1837020214212
0.552227597,197.72541782474792
0.592322942,216.28021949575216
0.632431047,182.19716133389483
0.672581027,205.67382152112185
0.712734496,204.54069949623823
0.752861143,190.8937152413514
0.79434528,231.8087672332507
0.835817646,218.1566767941165
0.877209024,213.6228670371103
0.918685296,216.63681181373116
0.960073601,220.43410856870065
1.001473832,246.56334871338296
1.042846981,213.24261763741353
1.084372159,213.60543846638853
1.125878223,249.96424416672315
1.167262205,229.54808321379767
1.208639885,226.5165676179086
1.250045481,219.30546654840236
1.299123002,223.07802468303078
1.340552192,265.50107716792155
1.382047631,240.13467866464393
1.423637861,221.95490453577327
1.465197623,250.34602321805096
1.506681083,222.6942597211581
1.548137408,215.15585080608327
1.589645035,229.92049142639848
1.631186881,266.6678626825018
1.67279883,230.65082392620687
1.714380258,226.11108183713867
1.755914395,195.8206220600738
1.79731145,263.64029663659795
1.838829597,231.03918595688558
1.880545191,242.02763826722116
1.921906725,229.13349339036358
1.963342686,140.5292282734753
2.004771407,0
2.046308461,-0.7574489785058476
2.087736765,0.3786929503717025
2.129141736,0.37870149399961556
2.170532229,-0.75758049370538
2.211910794,0
2.253254463,-108.7082714453253
2.294786205,-213.21115794448193
2.336359925,-263.1979856506163
2.377727084,-260.6113035570337
2.419104243,-253.39043818586828
2.460496297,-215.9138160767841
2.5018708,-243.52281698015688
2.543344938,-235.94945364931766
2.584828763,-259.43393557115036
2.626416598,-258.67511934222927
2.66795761,-241.26300175516036
2.709622424,-240.10424451260292
2.751226769,-246.56504977016687
2.792851739,-226.47252732913748
2.83441223,-247.71978814592705
2.875901784,-224.20840206888965
2.917348161,-230.28927903896434
2.958801362,-234.46709098881092
3.000336384,-243.56635855939604
3.041718075,-217.03399951705606
3.083165754,-248.85482348285268
3.124633225,-215.11999784478397
3.166078405,-243.5418340659246
3.207478532,-212.46739826422964
3.248867514,-250.72823773235424
3.290253319,-223.47422302163704
3.33166428,-219.2929021770545
3.37303696,-234.4552905638107
3.414658597,-221.1612892486608
3.456325286,-210.18552803962942
3.497721195,-211.69853733680878
3.539105333,-200.32891788580608
3.580490774,-218.92441672106872
3.621872569,-199.97243500958697
3.66344457,-214.747971561986
3.7048985,-218.1506130909584
3.746324826,-215.52491187712576
3.7877236,-195.80123958708845
3.829151957,-219.66821274920977
3.870678229,-193.910983972763
3.911102843,-205.66739143359777
3.951201887,-196.95177855016658
3.991339732,-236.3667528057972
0.029963072,-276.5015163077047
0.070189771,-102.2749621009188
0.110305481,6.818259670168546
0.150405982,-1.1363016929674157
0.190542838,191.66785851868755
0.230705891,191.6568832345404
0.270876027,201.50836462020396
0.31105757,209.4706434358994
0.351153541,202.65629469005756
0.391220605,187.1253010290885
0.431284596,209.0889475847909
0.47141015,204.54033816106815
0.511468881,211.73896986384992
0.551525581,226.51027833513322
0.591586344,190.5314878160076
0.631646325,201.50696087849673
0.67176891,221.20889575514005
