Tempo,Velocidade
5.312e-06,-8.499318668641034e-05
0.040979633,0.16413361012888628
0.081886609,0.4797543483556592
0.123086555,2.8089563303353846
0.163963167,3.2696208688537416
0.204858686,3.661422912155107
0.246169621,3.073991194609962
0.287201702,3.7243052338606746
0.328092272,3.976766043790964
0.369327843,3.3454287545388657
0.410240653,3.7939193413973817
0.451057005,3.4908501900810482
0.492292627,3.711609712892604
0.533138458,3.920186485440331
0.573965852,3.244862811656478
0.615109755,3.882290101601237
0.656101784,3.8568385139029857
0.697007094,3.371110379181164
0.738179695,3.8820947231723912
0.779026568,3.825429562232628
0.819936513,4.198346172648282
0.861094167,3.920472259604991
0.902024268,4.109831437141942
0.942927286,4.513854517730775
0.984188325,3.939199815679902
1.025168635,4.374989581321732
1.066258528,3.92639017310897
1.107390505,4.336756871375687
1.147473784,3.888778263689665
1.187251698,3.7563692942423437
1.227034351,3.964382386071398
1.266765911,4.292576247217817
1.306584607,3.724576839123192
1.346341635,1.4961280192057214
1.386135591,-0.347227413753494
1.42587538,-2.8280109285415236
1.465723607,-3.200594302985827
1.505598865,-3.831802049144015
1.545400269,-3.6614484181210742
1.585230318,-3.4911047775069237
1.625016096,-3.9330509906019624
1.664800521,-4.216905294940593
1.70464906,-3.6299598260108983
1.744410099,-4.2235187137761585
1.784163585,-3.958392648734184
1.823893218,-3.895206247057928
1.863679101,-3.7056447354498467
1.9034129,-3.7434829243814733
1.94319998,-4.109810203858627
1.982942998,-3.4721777282341235
2.022680652,-4.153619455209686
2.062407212,-3.7563562724099726
2.102188511,-3.8319017962828834
2.142021112,-3.5034510387065567
2.181850745,-3.421518907052457
2.221658451,-3.6614929628852355
2.261439489,-3.62365325383258
2.301237143,-3.7309674037781577
2.341084744,-3.6361971709175895
2.380919846,-3.8257682308707976
2.420715364,-3.213270151565976
2.460505048,-3.863539978375205
2.500397858,-2.9798012133084844
2.54020098,-1.8876152238926034
2.579990665,-2.2600877178221768
2.619763943,-1.8369796805413607
2.660349513,-1.1677541956833055
2.701318,-1.4959981279675105
2.742190392,-1.0478390619558122
2.783450597,-1.1804113355405286
2.824573303,-0.7384448551685417
2.865630539,-0.5239431743826231
2.906632411,-0.2083107778201794
2.947831731,-0.03787448869407979
2.988800426,0.018934089119977772
3.029777245,0.025244006968858822
3.072228232,0.012622967103770774
3.113244114,0.006312535334408004
3.15424859,0.006312261416484008
3.195561347,0.0
3.236577803,0.0
3.277491862,-0.006312140874884467
3.318691807,0.006311067353172533
3.359681595,-0.018936357622008303
3.400648519,-0.006312688923984289
3.441915756,-0.006311198789483404
3.482852992,-0.006312217659140724
3.523829343,-0.012625772153249868
3.565020955,-0.0063129407849834675
3.606138712,-0.006311275550821171
3.647115584,-0.018936028197994646
3.688491518,-0.012623821487347215
3.729446306,0.0
3.770572969,-0.012625268439980023
3.811839633,-0.01262191558409431
3.85273489,0.006313269686368889
3.893619366,-0.012625311782147954
3.935011602,-0.0063130722993401155
3.975936859,-0.025246723358308854
